player,batting_average,strike_rate,bowling_average
B Stanlake,0.209302326,20.93023256,22.16393443
PJ Cummins,0.596606975,59.66069746,25.59042553
CA Lynn,1.424446203,142.4446203,0
Shoaib Malik,1.007918686,100.7918686,32.734375
Junaid Khan,0.454545455,45.45454545,24.7080292
Umar Akmal,1.025956284,102.5956284,0
Mohammad Rizwan,1.065685759,106.5685759,0
Sharjeel Khan,1.204797048,120.4797048,0
DAS Gunaratne,0.696428571,69.64285714,26.3
S Prasanna,1.03276131,103.276131,37.37254902
AJ Turner,1.235031278,123.5031278,29.44444444
AJ Finch,1.073753699,107.3753699,38.2
KMDN Kulasekara,0.707724426,70.77244259,26.73076923
MC Henriques,0.917498532,91.7498532,27.82222222
SL Malinga,0.663101604,66.31016043,22.45989305
PADLR Sandakan,0.504545455,50.45454545,28.25806452
JRMVB Sanjaya,0.888888889,88.88888889,27.14285714
M Klinger,0.956675749,95.66757493,0
AJ Tye,1.081911263,108.1911263,16.53554502
JA Richardson,0.770618557,77.06185567,18.95454545
BR Dunk,1.253435115,125.3435115,68
TD Paine,0.61784365,61.78436501,0
EMDY Munaweera,1.016483516,101.6483516,32.22222222
TAM Siriwardana,0.861280488,86.12804878,37.4
MD Shanaka,1.088168373,108.8168373,32
C de Grandhomme,1.094817432,109.4817432,38.20512821
JDS Neesham,1.107551487,110.7551487,25.83916084
MJ Santner,0.90989497,90.98949696,35.32142857
GJ Bailey,0.918653046,91.86530458,0
MJ Henry,1.039513678,103.9513678,25.19148936
TA Boult,0.763157895,76.31578947,26.2688172
A Zampa,0.64116095,64.11609499,24.68325792
LH Ferguson,0.7960199,79.60199005,24.25
TG Southee,0.902760351,90.27603513,26.01983003
KS Williamson,0.776315789,77.63157895,40.48148148
C Munro,1.346462436,134.6462436,34.76923077
SR Thompson,0.881818182,88.18181818,29.82758621
GE Kidd,0,0,15.75
M Marais,1.245098039,124.5098039,0
DP Hyatt,0.811764706,81.17647059,17.5
J Mulder,1.3,130,18.72222222
AP Gillespie,1.175,117.5,0
NG Jones,1.051724138,105.1724138,17.28571429
NL Smith,0.724770642,72.47706422,22
AR McBrine,0.774551665,77.45516652,27.13483146
SC Getkate,1.018575851,101.8575851,21.6
DA Rankin,0.777777778,77.77777778,0
GJ McCarter,1.226415094,122.6415094,20.31578947
J Theron,1.023809524,102.3809524,17.78313253
SA Britton,0.75,75,41
RL Dougherty,0.896551724,89.65517241,0
Noor Ali Zadran,0.744067797,74.40677966,0
SM Sharif,0.723127036,72.31270358,21.47663551
Mohammad Shahzad,1.0647126,106.47126,0
RAJ Smith,0.833333333,83.33333333,35.4375
CD de Lange,0.851851852,85.18518519,29.07692308
Asghar Stanikzai,0.80191789,80.19178903,28.5
Rahmat Shah,0.675288361,67.52883607,45.125
MA Leask,1.15940367,115.940367,23.95454545
BTJ Wheal,0.281350482,28.13504823,29.18918919
AC Evans,0.603960396,60.3960396,22.5
Javed Ahmadi,0.699152542,69.91525424,81.5
Mohammad Nabi,1.095314592,109.5314592,23.29508197
Mirwais Ashraf,0.858778626,85.8778626,20.16666667
D du Preez,1.564516129,156.4516129,27.38461538
TL Moreki,0.375,37.5,23.3
JF Smith,1.010067114,101.0067114,9.166666667
M de Lange,1.066298343,106.6298343,23.82424242
PE Kruger,1.252459016,125.2459016,28
RS Second,1.040322581,104.0322581,0
A Mgijima,1.03,103,21.33333333
PJ van Biljon,1.205084746,120.5084746,0
DS Rosier,1.230483271,123.0483271,0
TM Bodibe,0.96031746,96.03174603,0
D Paterson,0.830508475,83.05084746,24.67647059
GF Linde,1.137067938,113.7067938,31.06
DA Miller,1.224673341,122.4673341,0
SC van Schalkwyk,1.058252427,105.8252427,16.71875
KA Pollard,1.318794459,131.8794459,27.64556962
RK Kleinveldt,1.004474273,100.4474273,25.7751938
H Davids,1.196123147,119.6123147,37.25
TG Mokoena,0.875776398,87.57763975,0
MK McGillivray,1.52,152,71
BC Fortuin,0.95620438,95.62043796,23.13333333
E Leie,0.555555556,55.55555556,30.5
GC Viljoen,0.957356077,95.73560768,25.76237624
JA Morkel,1.2,120,26.25663717
HG Kuhn,0.903729839,90.37298387,0
F Behardien,1.276574307,127.6574307,34.88888889
MQ Adams,1.174242424,117.4242424,0
AM Phangiso,0.603550296,60.35502959,24.66176471
PWA Mulder,0.842519685,84.2519685,25.94444444
K Nipper,0.538461538,53.84615385,47
K Zondo,0.922405432,92.24054316,144
SSB Magala,1.316384181,131.6384181,26.63333333
ACR Birch,1.273809524,127.3809524,22.97435897
AL Phehlukwayo,0.97532656,97.53265602,29.11956522
R Frylinck,1.200617284,120.0617284,21.55737705
CS Delport,1.345228549,134.5228549,31.38461538
JT Smuts,1.152036199,115.2036199,28.35416667
CN Ackermann,0.82690815,82.69081501,47.7804878
SSN Nqweni,1.086956522,108.6956522,16.75
Imran Tahir,0.655405405,65.54054054,24.65714286
MN van Wyk,1.058902276,105.8902276,0
VB van Jaarsveld,1.124786325,112.4786325,0
C Chetty,1.221411192,122.1411192,0
BD Walters,1,100,36.53333333
CJ Alexander,0.764705882,76.47058824,28.69230769
C Tshiki,1,100,0
JL Ontong,1.043032787,104.3032787,18.875
MP Siboto,0.774193548,77.41935484,24.04081633
L Ngidi,0.319327731,31.93277311,20.79285714
CJ Dala,1.152173913,115.2173913,23.54716981
S von Berg,0.842105263,84.21052632,21.62962963
RE Levi,0.978044597,97.80445969,0
D Wiese,1.161660777,116.1660777,26.1291866
LLL Sesele,0.388888889,38.88888889,0
M Shezi,0,0,25.27272727
H Klaasen,1.25,125,56
P Subrayen,1.263888889,126.3888889,22.22580645
JD Vandiar,1.045296167,104.5296167,0
M Budaza,0,0,14.38095238
D Olivier,0.405679513,40.56795132,24.29166667
CA Ingram,1.083571429,108.3571429,26.58139535
S Seyibokwe,0.826086957,82.60869565,0
C Fortuin,0.901098901,90.10989011,0
WD Parnell,0.886670581,88.66705813,25.60103627
NM Serame,0,0,52
OA Ramela,1.229299363,122.9299363,0
DA Hendricks,0.984126984,98.41269841,0
M Mosehle,1.097165992,109.7165992,0
DP Conway,1.020160177,102.0160177,0
NJ van den Bergh,1.182291667,118.2291667,0
HE van der Dussen,1.074024675,107.4024675,3
AGS Gous,1.153846154,115.3846154,0
TB de Bruyn,1.198924731,119.8924731,106
RJ Engelbrecht,0.769230769,76.92307692,22.33333333
KD Petersen,0.604469274,60.44692737,0
DL Piedt,0.293333333,29.33333333,50.13333333
AK Markram,0.88735692,88.73569199,26.18181818
LM Zuma,1,100,54
AR Swanepoel,1.100840336,110.0840336,28.75
A Gqamane,1.397849462,139.7849462,26.19047619
RR Hendricks,1.144064386,114.4064386,46
D Pretorius,1.213709677,121.3709677,28.65882353
KP Pietersen,0.824463948,82.44639485,34.375
JL du Plooy,0.725792631,72.57926307,43.75
CA Dry,0.916666667,91.66666667,25
LL Mnyanda,0.714285714,71.42857143,0
JB Reva,0.697142857,69.71428571,31.22222222
JJ Smit,1.051618548,105.1618548,24.57142857
VV Morea,0.639889197,63.98891967,0
CA Soper,0.519157088,51.91570881,24.31666667
D Bau,0.470930233,47.09302326,0
N Vanua,0.891089109,89.10891089,23.93902439
TP Ura,1.009150327,100.9150327,0
SF Burger,0.663814181,66.38141809,39
MD Dai,0.88362069,88.36206897,28.73913043
WT Gavera,0.4,40,28.6
L Siaka,0.814285714,81.42857143,16.33333333
SJ Baard,0.889048302,88.90483022,17.8
HN Ya France,0.727443609,72.7443609,40.22222222
BM Scholtz,0.488469602,48.84696017,21.23376623
S Bau,0.711262799,71.12627986,40.78571429
NRP Scholtz,0.759305211,75.93052109,10.2
A Vala,0.783553473,78.35534725,26.43478261
CG Williams,0.978843441,97.88434415,20.29032258
G Snyman,0.651764706,65.17647059,24.68181818
JP Kotze,0.960741549,96.07415485,0
W van Vuuren,0.491935484,49.19354839,0
JN Frylinck,0.965875371,96.58753709,23.09302326
PA van Meekeren,0.502222222,50.22222222,24.29885057
Sagar Pun,0.627368421,62.73684211,19.42307692
MJG Rippon,0.787878788,78.78787879,22.46153846
S Vesawkar,0.737642586,73.76425856,23.8
Karan KC,1.274626866,127.4626866,17.79090909
T van der Gugten,0.64232902,64.23290203,22.25988701
RE van der Merwe,0.94760479,94.76047904,29.27044025
P Khadka,0.788201161,78.82011605,26.0625
AK Mandal,0.652027027,65.2027027,0
R Rijal,1.5,150,0
B Bhandari,0.756896552,75.68965517,0
B Regmi,0.613559322,61.3559322,13.47169811
Mudassar Bukhari,0.909340659,90.93406593,18.17647059
G Malla,0.809336333,80.9336333,17
Sompal Kami,0.72,72,20.24427481
Ahsan Malik,0.655172414,65.51724138,10.63636364
S Lamichhane,0.869047619,86.9047619,15.02714932
NK Patel,0.773509934,77.35099338,18.95238095
LN Oluoch,1.189873418,118.9873418,17.38709677
Nizakat Khan,0.947033898,94.70338983,18.23076923
C Carter,0.540358744,54.03587444,0
NN Odhiambo,0.876267748,87.62677485,25.83050847
SO Ngoche,1.017353579,101.7353579,14.72289157
Anshuman Rath,0.778660613,77.86606129,29.33333333
RR Patel,0.989165764,98.91657638,28.80952381
KD Shah,0.846878681,84.68786808,19.625
NM Odhiambo,0.745849298,74.58492976,19.3
TGJ Gruijters,0.891304348,89.13043478,23
PM Seelaar,0.718505647,71.85056473,35.55555556
Yamin Ahmadzai,0.403225806,40.32258065,23.38461538
Zahir Khan,0.153846154,15.38461538,24.72916667
S Snater,0.894736842,89.47368421,24.52727273
PW Borren,0.843023256,84.30232558,37.64
Dawlat Zadran,0.690217391,69.02173913,25.46464646
W Barresi,0.871666667,87.16666667,16
VJ Kingma,0.428571429,42.85714286,34.38461538
MH Cross,0.776004119,77.60041195,0
Tanwir Afzal,0.794266442,79.42664418,31.48148148
Nadeem Ahmed,0.587878788,58.78787879,16.12903226
PL Mommsen,0.791540785,79.15407855,51
Tanveer Ahmed,0.642857143,64.28571429,43.41666667
RD Berrington,0.899519616,89.95196157,34.45833333
CD Wallace,0.810983397,81.09833972,0
KJ Coetzer,0.877661494,87.7661494,80
CS MacLeod,0.935762817,93.57628166,112
Aizaz Khan,0.782978723,78.29787234,21.46153846
Ehsan Khan,0.566037736,56.60377358,19.61111111
MRJ Watt,0.744329897,74.43298969,28.93406593
J Little,0.784313725,78.43137255,20.69230769
KJ O'Brien,1.070279146,107.0279146,26.13084112
Shahid Wasif,0.631578947,63.15789474,0
CA Young,0.778761062,77.87610619,17.55737705
DS Kulkarni,1.052631579,105.2631579,23.36082474
E Chigumbura,0.799587487,79.95874871,33.5890411
TL Chatara,0.505016722,50.50167224,24.1826087
PJ Moor,0.6484375,64.84375,0
H Masakadza,0.704939422,70.49394222,39.16
Sikandar Raza,0.938896814,93.88968141,36.54444444
T Muzarabani,0.346153846,34.61538462,27.77777778
CR Ervine,0.691898734,69.18987342,0
BB Sran,1.139534884,113.9534884,25.8
JJ Bumrah,0.683060109,68.30601093,20.02941176
V Sibanda,0.580125336,58.01253357,69
AG Cremer,0.479148181,47.9148181,29.49462366
AR Patel,1.0544919,105.44919,27.96969697
R Mutumbami,0.721231767,72.12317666,0
YS Chahal,0.43902439,43.90243902,25
CJ Chibhabha,0.665264142,66.52641421,37.59375
T Maruma,0.408256881,40.82568807,33.5
DT Tiripano,0.460300429,46.03004292,43.0952381
T Mupariwa,0.316455696,31.64556962,23.75
MN Waller,0.840749415,84.07494145,50.44444444
N Madziva,0.610169492,61.01694915,28.04761905
JD Unadkat,1.425837321,142.5837321,20.37383178
CT Mutombodzi,0.609865471,60.98654709,30.125
R Dhawan,1.271641791,127.1641791,33.15
MS Dhoni,0.949949444,94.99494439,51
KM Jadhav,1.174686882,117.4686882,27.125
KL Rahul,0.980285161,98.02851611,0
AT Rayudu,1.117551286,111.7551286,42.5
Mandeep Singh,1.232492997,123.2492997,64
MK Pandey,1.210384615,121.0384615,0
S Shillingford,0.451612903,45.16129032,33.7
AS Joseph,0.682258065,68.22580645,29.0375
DE Johnson,0.833333333,83.33333333,27
J Charles,1.200062913,120.0062913,0
ADS Fletcher,1.136948888,113.6948888,14.5
JL Carter,0.837110482,83.71104816,72.33333333
K Lesporis,1.028571429,102.8571429,0
MEK Hussey,0.78909515,78.90951502,69.5
SS Cottrell,0.931034483,93.10344828,23.67669173
DJG Sammy,1.083359351,108.3359351,36.05797101
S Badree,0.775862069,77.5862069,21.50666667
SR Watson,0.902165376,90.21653764,24.46491228
K Santokie,1.115384615,111.5384615,15.70454545
RR Emrit,0.958083832,95.80838323,22.5875
A Bramble,0.684931507,68.49315068,0
KR Mayers,1.101845523,110.1845523,28.57575758
DR Smith,1.143206854,114.3206854,28.5
JE Taylor,0.751101322,75.11013216,25.37288136
SO Hetmyer,1.139854487,113.9854487,0
GD Elliott,0.921682848,92.16828479,22.17647059
JN Mohammed,0.810408922,81.04089219,42.33333333
KK Cooper,1.287313433,128.7313433,18.1744186
NO Miller,0.741626794,74.16267943,31.91304348
SP Narine,1.225412778,122.5412778,22.17610063
DJ Bravo,1.012102284,101.2102284,22.79198473
RR Beaton,0.181818182,18.18181818,25.12121212
AP Devcich,1.275990099,127.5990099,31.14285714
DM Gondaria,1.003663004,100.3663004,52
A Nao,0.6875,68.75,28.21052632
IA Karim,0.671060172,67.10601719,0
Gurdeep Singh,0.585903084,58.59030837,7.333333333
E Otieno,0.704347826,70.43478261,23.15
CO Obuya,0.770093458,77.00934579,18.92307692
MA Ouma,0.572851806,57.28518057,0
JNT Vare,0.967213115,96.72131148,0
CJA Amini,0.773462783,77.34627832,28.58139535
EB Ringera,0.55952381,55.95238095,26.82352941
Sohail Tanvir,1.027303754,102.7303754,22.2372093
D Ramdin,0.793126685,79.31266846,0
SA Jacobs,0.666666667,66.66666667,29
V Permaul,0.660869565,66.08695652,36.225
CH Gayle,1.084422428,108.4422428,30.58823529
CAK Walton,1.278584392,127.8584392,0
RA Reifer,1.006299213,100.6299213,32.8
R Rampaul,0.719495091,71.94950912,24.09569378
R Powell,1.165417057,116.5417057,38.60869565
KC Sangakkara,0.804674879,80.46748788,0
AB de Villiers,1.013683887,101.3683887,58.5
Steven Ryan Taylor,0.907568238,90.75682382,22.53333333
N Pooran,1.255743243,125.5743243,16.5
SJ Benn,0.625,62.5,47.17241379
KA Hope,0.730769231,73.07692308,0
M Morkel,0.607379376,60.73793756,23.9347181
ND Stewart,1.636363636,163.6363636,25.66666667
DYA Davis,1,100,28.66666667
CD Barnwell,1.169960474,116.9960474,32.83333333
Shakib Al Hasan,0.889060092,88.90600924,25.60722892
AD Russell,1.526864475,152.6864475,22.75531915
GE Mathurin,0.888888889,88.88888889,40.4
KOK Williams,0.633333333,63.33333333,19.63917526
MJ Guptill,0.87698929,87.69892904,61
TP Allen,1.239837398,123.9837398,22.58823529
AR Nurse,1.104950495,110.4950495,43.37837838
TWM Latham,0.713840884,71.38408843,0
Mustafizur Rahman,0.443438914,44.3438914,20.12863071
Mosaddek Hossain,1.001639344,100.1639344,45.96296296
NT Broom,0.879512195,87.95121951,30
L Ronchi,1.366554863,136.6554863,0
Mashrafe Mortaza,0.850491803,85.04918033,29.38427948
Taskin Ahmed,0.558758315,55.87583149,28.11504425
Soumya Sarkar,0.926078029,92.60780287,31.2
Subashis Roy,0,0,49.81818182
Sabbir Rahman,0.965750338,96.5750338,87
Mahmudullah,0.80921895,80.92189501,33.61403509
JS Patel,0.770444763,77.04447633,28.51916376
Nurul Hasan,0.975232198,97.52321981,0
BM Wheeler,1.329545455,132.9545455,29.63157895
Rubel Hossain,0.60106383,60.10638298,28.00558659
TC Bruce,1.480304956,148.0304956,28
CJ Anderson,1.12911796,112.911796,26.33898305
Mehedi Hasan Miraz,0.82566953,82.56695301,37.26363636
N Wagner,0.656565657,65.65656566,28.52348993
Mushfiqur Rahim,0.763689892,76.36898921,0
Mominul Haque,0.636655949,63.66559486,23.5
Kamrul Islam Rabbi,0.126213592,12.62135922,28.03125
Nazmul Hossain Shanto,0.802647413,80.26474128,53
JA Raval,0.640903686,64.09036861,33
HM Nicholls,0.681396093,68.13960935,0
BJ Watling,0.484508705,48.45087046,0
MP Stoinis,1.136395268,113.6395268,31.4
CH Morris,1.083895853,108.3895853,22.7761194
JT Ball,0.817460317,81.74603175,25.10869565
BA Stokes,0.798813302,79.88133021,31.79393939
LE Plunkett,1.036936937,103.6936937,25.7804878
JE Root,0.736406619,73.64066194,52.78787879
MA Wood,0.739972337,73.99723375,28.78787879
CR Woakes,0.737020316,73.7020316,25.48319328
MM Ali,0.884893147,88.48931466,36.91111111
AF Milne,1.00308642,100.308642,22.01801802
JW Hastings,1.065491184,106.5491184,23.77857143
RAS Lakmal,0.464028777,46.4028777,30.1483871
N Pradeep,0.314917127,31.49171271,29.92079208
Shadab Khan,1.077860528,107.7860528,28.01360544
V Kohli,0.909671706,90.9671706,74.2
Yuvraj Singh,0.970995091,97.09950915,31.17204301
RG Sharma,1.029461504,102.9461504,53.90909091
HH Pandya,1.281216069,128.1216069,30.24299065
S Dhawan,1.036531239,103.6531239,16
JC Buttler,1.104174318,110.4174318,0
JJ Roy,1.085387585,108.5387585,33.75
AU Rashid,0.722012579,72.20125786,29.74509804
EJG Morgan,0.989522562,98.95225622,0
AD Hales,1.057329463,105.7329463,0
NLTC Perera,1.250376506,125.0376506,25.11065574
MD Gunathilaka,0.931576514,93.15765141,41.71428571
B Kumar,0.655290102,65.52901024,26.74390244
RA Jadeja,0.853165064,85.31650641,31.30405405
R Ashwin,0.677931831,67.79318313,28.42028986
Faheem Ashraf,0.844856661,84.4856661,23.69911504
LD Chandimal,0.643710565,64.37105652,0
DM de Silva,0.721353426,72.13534262,41.07142857
AD Mathews,0.749563128,74.9563128,34.88888889
N Dickwella,0.874956461,87.49564612,0
Rumman Raees,1.193548387,119.3548387,22.51162791
JM Bairstow,0.808646524,80.86465242,0
Fakhar Zaman,1.078107811,107.8107811,26.25
WP Saha,0.902562252,90.25622519,0
Mohammed Shami,0.778966132,77.89661319,23.24907063
ST Gabriel,0.412844037,41.28440367,31.14285714
CR Brathwaite,1.229985444,122.9985444,26
D Bishoo,0.412017167,41.20171674,39.49253731
JO Holder,0.891825229,89.1825229,29.30797101
AM Rahane,0.72635605,72.63560501,5
A Mishra,0.695121951,69.51219512,26.99375
KC Brathwaite,0.401996119,40.19961187,59.375
RL Chase,0.723690773,72.36907731,52.89285714
R Chandrika,0.294117647,29.41176471,0
ML Cummins,0.494339623,49.43396226,48.84
J Blackwood,0.641891892,64.18918919,70
MN Samuels,0.758394056,75.83940563,38.26582278
UT Yadav,0.745454545,74.54545455,27.584
I Sharma,0.372216331,37.22163309,30.47302905
SO Dowrich,0.500530223,50.05302227,0
LR Johnson,0.464788732,46.47887324,0
BJ Rohrer,1.34,134,0
DE Bollinger,0.678947368,67.89473684,20.92727273
GS Sandhu,0.35840708,35.84070796,23.33898305
CJ McKay,0.711055276,71.10552764,20.5617284
SNJ O'Keefe,0.714285714,71.42857143,28.17857143
SA Abbott,0.773125609,77.31256086,20.78195489
RJ Gibson,1.11875,111.875,0
JR Doran,0.376706827,37.67068273,16
J Botha,0.960238569,96.02385686,33.17307692
BJ Dwarshuis,0.775956284,77.59562842,24.44578313
KR Patterson,0.652317881,65.23178808,0
CJ Green,1.060273973,106.0273973,22.71276596
B Laughlin,0.5,50,21.20238095
CJ Jordan,0.820851689,82.08516887,23.69117647
LN O'Connor,0.25,25,70.25
KW Richardson,0.847058824,84.70588235,22.32679739
AI Ross,1.258297258,125.8297258,0
MG Neser,0.817974972,81.79749716,18.68243243
JJ Peirson,0.884587814,88.45878136,0
BCJ Cutting,1.340747331,134.0747331,26.60240964
Fawad Ahmed,0.784313725,78.43137255,23.80851064
AJ Nair,1,100,40.11111111
CP Tremain,0.512328767,51.23287671,29.21428571
TLW Cooper,0.980053191,98.00531915,30.18181818
MS Harris,0.659178744,65.9178744,0
CL White,1.00540054,100.540054,42.22222222
DT Christian,1.300106045,130.0106045,25.16891892
CJ Boyce,1.222222222,122.2222222,22.89130435
HP Kingston,1.611111111,161.1111111,24.66666667
DJM Short,1.131028596,113.1028596,47.75
DP Michael,1.139240506,113.9240506,13.5
SM Whiteman,0.583858042,58.38580424,0
IR Bell,0.651301518,65.13015184,28
DJ Willey,1.146471372,114.6471372,27.41578947
AC Agar,0.991421569,99.14215686,36.3902439
SM Boland,0.409395973,40.93959732,26.29545455
BW Hilfenhaus,0.484008529,48.40085288,24.85294118
MA Beer,0.361111111,36.11111111,21.24242424
WER Somerville,0.468571429,46.85714286,30.65625
SE Marsh,0.808709758,80.87097579,0
MJ Swepson,0.591304348,59.13043478,31.45762712
JD Wildermuth,0.785714286,78.57142857,30.49056604
MT Steketee,0.57615894,57.61589404,25.96428571
MG Johnson,0.736480687,73.64806867,24.97757848
SCJ Broad,0.700158479,70.01584786,24.66137566
CA Rose,1.329113924,132.9113924,36.75
BJ Hodge,1.132093467,113.2093467,18
TD Andrews,0.695652174,69.56521739,88.66666667
J Weatherald,0.869877482,86.9877482,0
TL Lawford,1,100,24.33333333
S Milenko,0.937142857,93.71428571,43.6
JR Dean,1.214876033,121.4876033,0
BJ Webster,0.723194748,72.31947484,66.38461538
HTRY Thornton,0.5,50,30.66666667
ND Buchanan,1.125,112.5,25
SB Harper,0.897435897,89.74358974,0
DJ Hussey,1.069915254,106.9915254,29.9
LJ Wright,0.988989522,98.89895223,36.22580645
JL Pattinson,0.505034857,50.50348567,25.77777778
GB Hogg,0.792176039,79.21760391,25.53921569
MW Short,0.916562108,91.65621079,26.91666667
EP Gulbis,1.25,125,48.66666667
IS Sodhi,0.700990099,70.0990099,29.74125874
KR Smith,0.570175439,57.01754386,0
WA Agar,0.726923077,72.69230769,28.40816327
TP Ludeman,1.100401606,110.0401606,0
L Bowe,0,0,26.66666667
TS Mills,0.561797753,56.17977528,19.7761194
SL Rainbird,0.578703704,57.87037037,35.65217391
JK Reed,0,0,25.83333333
MJ Lumb,0.828429752,82.84297521,0
BJ Haddin,0.746334032,74.63340316,0
DP Hughes,0.611338798,61.13387978,0
TT Bresnan,0.674538911,67.45389114,30.70517928
CT Bancroft,0.636904762,63.69047619,0
CJ Gannon,0.725,72.5,28.6
NJ Rimmington,0.578163772,57.81637717,30.9137931
SE Gotch,0.554455446,55.44554455,0
M Labuschagne,0.619192947,61.91929468,30.47826087
AT Carey,0.889994472,88.99944721,0
DJ Worrall,0.619047619,61.9047619,23.57943925
TM McGrath,1.031528852,103.1528852,24.87234043
ML Schutt,0.854014599,85.40145985,17.91525424
M Strano,1.010638298,101.0638298,16.44303797
BE Patterson,0.961748634,96.17486339,0
SJ Coyte,0.749140893,74.91408935,16.44736842
SFM Devine,1.106598985,110.6598985,18.37795276
A Wellington,1.275184275,127.5184275,16.85436893
A Price,0.777777778,77.77777778,19.85714286
S Nitschke,0.641129032,64.11290323,43.75
TT Beaumont,0.825964418,82.59644178,0
DN Wyatt,1.11405167,111.405167,26.39285714
NM Goodwin,0.666666667,66.66666667,27.33333333
TJ McPharlin,1.080246914,108.0246914,0
CM Edwards,0.766556291,76.65562914,41
LMM Tahuhu,1.005763689,100.5763689,20.25925926
S Molineux,0.94972067,94.97206704,19.29268293
GM Harris,1.230596175,123.0596175,23.90697674
NA Plane,0.5,50,23
M Brown,1.023809524,102.3809524,22.93939394
HC Knight,0.971526755,97.1526755,23.70930233
SW Bates,0.981723238,98.17232376,23.81666667
K Fryett,0,0,50.33333333
HK Matthews,0.902167183,90.21671827,16.0483871
NE Bolton,0.79587156,79.58715596,25.07407407
LK Ebsary,1.020779221,102.0779221,0
V Pyke,1.065217391,106.5217391,33.2
B Hepburn,0.653846154,65.38461538,25.95
KH Brunt,0.885176185,88.51761847,17.62068966
EJ Villani,1.013392857,101.3392857,25.66666667
AE Satterthwaite,0.952119309,95.21193093,19.71232877
H Graham,1.018543046,101.8543046,13.40740741
A King,1.043956044,104.3956044,17.02439024
RM Farrell,0.805668016,80.56680162,17.83116883
L Bardsley,0.625,62.5,0
B Vakarewa,0.795454545,79.54545455,34.08
SL Bates,0.47826087,47.82608696,20.55357143
JE Cameron,0.920122888,92.01228879,0
KM Mack,1.050887574,105.0887574,0
EA Osborne,0.753424658,75.34246575,21.70967742
H Kaur,1.017834066,101.7834066,17.66037736
D Hazell,0.789115646,78.91156463,21.67213115
E Kearney,0.75,75,27.66666667
NJ Carey,1.044052863,104.4052863,18.35714286
EJ Inglis,0.884210526,88.42105263,0
HNK Jensen,0.874223602,87.42236025,20.95945946
MJG Nielsen,0.612903226,61.29032258,18
G Redmayne,1.02020202,102.020202,0
EA Burns,1.16809816,116.809816,16.89655172
SE Aley,0.952830189,95.28301887,19.23529412
SJ McGlashan,0.97473275,97.47327502,0
GL Triscari,0,0,17.84615385
EA Perry,0.931447225,93.14472252,21.8503937
A Gardner,1.269673263,126.9673263,21.52631579
EA Leys,0.666666667,66.66666667,0
LC Sthalekar,0.625,62.5,14.875
AJ Healy,1.135326087,113.5326087,0
M Kapp,0.956489676,95.64896755,15.95215311
D van Niekerk,0.898859316,89.88593156,19.33057851
SR Taylor,0.870447595,87.04475952,19.46610169
AJ Blackwell,0.761177754,76.11777535,0
RL Haynes,0.824468085,82.44680851,29.5
NE Stalenberg,0.963829787,96.38297872,0
H Birkett,0.804878049,80.48780488,22.70588235
BL Mooney,1.159321106,115.9321106,0
DM Kimmince,0.943620178,94.3620178,17.81111111
JL Jonassen,0.90936107,90.93610698,16.31904762
RL Grundy,0.5,50,21.5
